,playlist_name,followers,songs,genre_1,genre_2,playlist_uri,track_uri,popularity,artist_name,song_name
0,Today’s Top Hits,"31,728,611",50,Pop,R&B,spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,spotify:track:0skYUMpS0AcbpjcGsAbRGj,87,BLACKPINK,Pink Venom
1,Today’s Top Hits,"31,728,611",50,Pop,R&B,spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,spotify:track:0O6u0VJ46W86TxN9wgyqDj,91,Post Malone,I Like You (A Happier Song) (with Doja Cat)
2,Today’s Top Hits,"31,728,611",50,Pop,R&B,spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,spotify:track:4LRPiXqCikLlN15c3yImP7,96,Harry Styles,As It Was
3,Today’s Top Hits,"31,728,611",50,Pop,R&B,spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,93,OneRepublic,I Ain't Worried
4,Today’s Top Hits,"31,728,611",50,Pop,R&B,spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,spotify:track:1PckUlxKqWQs3RlWXVBLw3,91,Lizzo,About Damn Time
5,Today’s Top Hits,"31,728,611",50,Pop,R&B,spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,100,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52"
6,Today’s Top Hits,"31,728,611",50,Pop,R&B,spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,spotify:track:29d0nY7TzCoi22XBqDQkiP,90,Kate Bush,Running Up That Hill (A Deal With God) - 2018 Remaster
7,Today’s Top Hits,"31,728,611",50,Pop,R&B,spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,spotify:track:5CM4UuQ9Gnd6K2YyKGPMoK,91,Steve Lacy,Bad Habit
8,Today’s Top Hits,"31,728,611",50,Pop,R&B,spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,spotify:track:0hquQWY3xvYqN4qtiquniF,90,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS)
9,Today’s Top Hits,"31,728,611",50,Pop,R&B,spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,spotify:track:5kYSScXYOZYyi0fxramiW6,0,DJ Khaled,BEAUTIFUL (feat. Future & SZA)
10,Today’s Top Hits,"31,728,611",50,Pop,R&B,spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,spotify:track:1qEmFfgcLObUfQm0j1W2CK,92,Harry Styles,Late Night Talking
11,Today’s Top Hits,"31,728,611",50,Pop,R&B,spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,spotify:track:76OGwb5RA9h4FxQPT33ekc,83,Rosa Linn,SNAP
12,Today’s Top Hits,"31,728,611",50,Pop,R&B,spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,spotify:track:0WtM2NBVQNNJLh6scP13H8,39,Rema,Calm Down (with Selena Gomez)
13,Today’s Top Hits,"31,728,611",50,Pop,R&B,spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,spotify:track:4C6Uex2ILwJi9sZXRdmqXp,88,Nicki Minaj,Super Freaky Girl
