,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity
993,0.286,0.907,7,-9.67,1,0.0374,0.000277,0.202,0.0837,0.746,156.395,417800,4,59
994,0.519,0.441,4,-14.178,1,0.0353,0.0204,0.000453,0.076,0.25,81.334,234973,4,77
995,0.417,0.99,1,-3.203,1,0.208,0.000188,0.0,0.115,0.413,175.977,203093,4,57
996,0.395,0.944,1,-5.82,1,0.0919,1.74e-05,0.861,0.186,0.12,179.946,278600,3,0
997,0.466,0.989,7,-6.867,1,0.101,4.8e-06,0.571,0.0985,0.145,137.026,212100,4,48
998,0.832,0.792,7,-6.052,1,0.0657,0.197,0.0343,0.0956,0.911,128.393,195280,4,44
999,0.234,0.98,0,-3.233,0,0.148,0.000266,0.00746,0.0992,0.245,186.728,203240,4,49
1000,0.119,0.031,2,-31.179,1,0.0483,0.964,0.165,0.111,0.0388,88.858,156573,4,55
1001,0.679,0.645,7,-9.765,1,0.0442,0.032,0.868,0.152,0.826,125.844,279520,4,57
1002,0.171,0.286,0,-15.125,1,0.0342,0.699,0.92,0.639,0.326,67.264,130962,4,45
1003,0.442,0.958,8,-4.314,1,0.0771,8.04e-06,1.64e-05,0.656,0.166,109.887,224660,4,55
1004,0.358,0.554,2,-12.927,0,0.0381,0.354,1.3e-06,0.218,0.419,147.743,179173,4,48
1005,0.429,0.936,4,-6.162,0,0.055,0.00148,0.0,0.177,0.689,151.287,204333,4,52
1006,0.439,0.957,9,-5.653,1,0.124,7.07e-05,0.467,0.0715,0.174,115.03,214973,4,38
1007,0.688,0.716,1,-10.437,0,0.032,0.00912,0.733,0.0921,0.977,144.124,384907,4,47
1008,0.555,0.977,8,-5.083,1,0.155,0.00103,0.0202,0.617,0.509,113.651,241240,4,41
1009,0.344,0.24,2,-9.666,1,0.0325,0.67,0.0,0.142,0.326,160.41,239867,4,48
1010,0.522,0.493,6,-5.853,1,0.0356,0.553,0.00311,0.105,0.171,143.964,225933,4,0
1011,0.487,0.869,8,-4.838,1,0.0321,0.203,0.923,0.0723,0.927,159.971,213000,4,14
1012,0.266,0.831,4,-9.07,1,0.0453,0.000862,0.0,0.0555,0.778,175.514,163693,4,64
1013,0.49,0.83,4,-9.283,1,0.0512,0.0922,0.0,0.0719,0.966,162.105,195133,4,36
1014,0.451,0.889,1,-2.693,1,0.261,0.00167,0.00215,0.258,0.586,131.073,153800,4,72
1015,0.429,0.668,4,-7.539,0,0.044,0.208,0.0,0.538,0.398,77.737,211067,4,64
1016,0.537,0.69,8,-3.908,1,0.0273,0.223,0.0,0.127,0.352,140.07,197733,4,40
1017,0.325,0.986,1,-3.211,0,0.106,8.42e-05,0.00235,0.326,0.0593,90.025,279061,4,41
1018,0.286,0.313,2,-10.06,1,0.0305,0.785,0.000102,0.126,0.31,176.145,231840,3,32
1019,0.349,0.575,5,-12.029,1,0.0546,0.0064,0.242,0.122,0.565,97.236,256000,4,53
1020,0.494,0.735,5,-8.347,1,0.0345,0.00401,3.14e-06,0.544,0.742,132.526,283000,4,58
1021,0.375,0.257,5,-7.699,0,0.0368,0.936,0.0,0.0909,0.124,85.818,206400,4,36
1022,0.84,0.628,6,-7.244,1,0.0591,0.624,0.0335,0.105,0.899,100.018,177600,4,12
1023,0.462,0.611,0,-4.461,0,0.0341,0.475,0.0,0.0989,0.418,149.963,233147,4,57
1024,0.396,0.394,4,-6.028,0,0.0277,0.731,0.0,0.144,0.359,150.383,237120,4,52
1025,0.651,0.859,4,-5.186,1,0.15,0.099,0.00284,0.301,0.871,164.152,235373,4,37
1026,0.484,0.655,4,-11.118,1,0.0316,0.033,0.0,0.0885,0.634,133.158,167453,4,55
1027,0.311,0.775,2,-12.683,1,0.076,0.506,0.0,0.897,0.477,121.352,350053,4,45
1028,0.739,0.563,11,-9.73,0,0.0447,0.294,0.00335,0.108,0.237,114.984,158609,4,41
1029,0.545,0.578,2,-8.745,1,0.0406,0.0114,6.57e-05,0.0692,0.819,128.038,238907,4,63
1030,0.63,0.551,9,-9.28,1,0.0549,0.373,5.75e-05,0.103,0.518,143.868,274493,4,70
1031,0.511,0.986,11,-5.586,0,0.0627,0.00012,0.476,0.487,0.236,115.016,375595,4,47
1032,0.776,0.44,6,-15.887,1,0.0613,0.34,0.00704,0.0508,0.606,125.756,191307,4,54
1033,0.543,0.795,5,-12.769,1,0.0394,0.498,3.5e-06,0.2,0.928,145.523,182867,4,56
1034,0.509,0.273,11,-9.806,1,0.0325,0.871,0.0,0.114,0.34,143.079,234893,4,58
1035,0.419,0.932,1,-3.604,0,0.106,0.00171,0.0,0.137,0.445,169.881,268000,4,62
1036,0.396,0.967,7,-3.452,1,0.108,1.01e-05,0.0,0.114,0.206,156.13,218923,4,37
1037,0.694,0.637,6,-5.453,1,0.235,0.0932,0.0,0.139,0.785,196.208,132310,4,49
