,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
116,0.6,0.593,0,-9.799,1,0.0452,0.726,0.0,0.399,0.912,134.979,audio_features,6uJXOi796U1D8iW9fj2ZGn,spotify:track:6uJXOi796U1D8iW9fj2ZGn,https://api.spotify.com/v1/tracks/6uJXOi796U1D8iW9fj2ZGn,https://api.spotify.com/v1/audio-analysis/6uJXOi796U1D8iW9fj2ZGn,128427,4
117,0.669,0.848,8,-10.072,0,0.03,0.0273,0.0869,0.0881,0.661,102.048,audio_features,7JoPxqrnT3eq02AnflBSiN,spotify:track:7JoPxqrnT3eq02AnflBSiN,https://api.spotify.com/v1/tracks/7JoPxqrnT3eq02AnflBSiN,https://api.spotify.com/v1/audio-analysis/7JoPxqrnT3eq02AnflBSiN,177507,4
118,0.234,0.832,10,-6.622,1,0.0476,0.00275,0.166,0.321,0.831,159.043,audio_features,1Tf9p4yyFuSDZpmnniYgNv,spotify:track:1Tf9p4yyFuSDZpmnniYgNv,https://api.spotify.com/v1/tracks/1Tf9p4yyFuSDZpmnniYgNv,https://api.spotify.com/v1/audio-analysis/1Tf9p4yyFuSDZpmnniYgNv,121720,4
119,0.413,0.725,3,-5.787,0,0.0324,0.369,2.16e-05,0.0905,0.44,124.618,audio_features,5uvosCdMlFdTXhoazkTI5R,spotify:track:5uvosCdMlFdTXhoazkTI5R,https://api.spotify.com/v1/tracks/5uvosCdMlFdTXhoazkTI5R,https://api.spotify.com/v1/audio-analysis/5uvosCdMlFdTXhoazkTI5R,429760,4
120,0.295,0.79,11,-5.696,0,0.0394,0.0493,2.28e-06,0.182,0.562,110.491,audio_features,15g66KeELSbN00rFTweCj8,spotify:track:15g66KeELSbN00rFTweCj8,https://api.spotify.com/v1/tracks/15g66KeELSbN00rFTweCj8,https://api.spotify.com/v1/audio-analysis/15g66KeELSbN00rFTweCj8,136293,3
121,0.451,0.818,2,-8.124,1,0.0439,0.135,2.92e-05,0.052,0.755,124.532,audio_features,5qBqBdfTEIWJwAS0Jm2F5R,spotify:track:5qBqBdfTEIWJwAS0Jm2F5R,https://api.spotify.com/v1/tracks/5qBqBdfTEIWJwAS0Jm2F5R,https://api.spotify.com/v1/audio-analysis/5qBqBdfTEIWJwAS0Jm2F5R,229360,4
122,0.519,0.337,2,-15.215,1,0.0333,0.887,0.0113,0.13,0.523,87.926,audio_features,3VyJGPYr2DF9gdBNosSao4,spotify:track:3VyJGPYr2DF9gdBNosSao4,https://api.spotify.com/v1/tracks/3VyJGPYr2DF9gdBNosSao4,https://api.spotify.com/v1/audio-analysis/3VyJGPYr2DF9gdBNosSao4,196133,4
123,0.215,0.709,10,-7.4,1,0.0355,0.847,0.000237,0.125,0.553,166.15,audio_features,5ADiy8c2ir9ewoKnsGWrYs,spotify:track:5ADiy8c2ir9ewoKnsGWrYs,https://api.spotify.com/v1/tracks/5ADiy8c2ir9ewoKnsGWrYs,https://api.spotify.com/v1/audio-analysis/5ADiy8c2ir9ewoKnsGWrYs,187760,3
124,0.241,0.604,7,-3.817,1,0.0313,0.0672,4.98e-05,0.0541,0.417,173.134,audio_features,0MRs5O62wfDgf5cQKalrPq,spotify:track:0MRs5O62wfDgf5cQKalrPq,https://api.spotify.com/v1/tracks/0MRs5O62wfDgf5cQKalrPq,https://api.spotify.com/v1/audio-analysis/0MRs5O62wfDgf5cQKalrPq,190600,4
125,0.428,0.843,9,-7.655,1,0.0747,0.058,0.0334,0.115,0.885,143.758,audio_features,1F7euzYeo32NncoyEBo63v,spotify:track:1F7euzYeo32NncoyEBo63v,https://api.spotify.com/v1/tracks/1F7euzYeo32NncoyEBo63v,https://api.spotify.com/v1/audio-analysis/1F7euzYeo32NncoyEBo63v,158800,4
126,0.63,0.551,9,-9.28,1,0.0549,0.373,5.75e-05,0.103,0.518,143.868,audio_features,0P7DoyGrr4Wp9w5TotEtUC,spotify:track:0P7DoyGrr4Wp9w5TotEtUC,https://api.spotify.com/v1/tracks/0P7DoyGrr4Wp9w5TotEtUC,https://api.spotify.com/v1/audio-analysis/0P7DoyGrr4Wp9w5TotEtUC,274493,4
127,0.401,0.13,5,-17.638,1,0.0312,0.989,0.305,0.101,0.213,93.091,audio_features,3uCkIqD0VzQUijbs8WIizs,spotify:track:3uCkIqD0VzQUijbs8WIizs,https://api.spotify.com/v1/tracks/3uCkIqD0VzQUijbs8WIizs,https://api.spotify.com/v1/audio-analysis/3uCkIqD0VzQUijbs8WIizs,210653,4
128,0.428,0.923,2,-4.454,0,0.123,0.0108,0.436,0.0985,0.681,151.005,audio_features,34miSNKQ0xN7EG8zzzaFzI,spotify:track:34miSNKQ0xN7EG8zzzaFzI,https://api.spotify.com/v1/tracks/34miSNKQ0xN7EG8zzzaFzI,https://api.spotify.com/v1/audio-analysis/34miSNKQ0xN7EG8zzzaFzI,146738,4
129,0.405,0.592,11,-12.309,1,0.0698,0.262,0.021,0.166,0.659,82.736,audio_features,1qTfHUVPsZTnrmvwQrAQdW,spotify:track:1qTfHUVPsZTnrmvwQrAQdW,https://api.spotify.com/v1/tracks/1qTfHUVPsZTnrmvwQrAQdW,https://api.spotify.com/v1/audio-analysis/1qTfHUVPsZTnrmvwQrAQdW,208667,4
130,0.605,0.526,9,-11.994,0,0.0388,0.348,2.35e-06,0.139,0.54,102.332,audio_features,5PHkCHXokZY9u29qLHlgGV,spotify:track:5PHkCHXokZY9u29qLHlgGV,https://api.spotify.com/v1/tracks/5PHkCHXokZY9u29qLHlgGV,https://api.spotify.com/v1/audio-analysis/5PHkCHXokZY9u29qLHlgGV,145587,4
131,0.249,0.66,0,-6.905,1,0.0342,0.504,0.0026,0.0891,0.435,149.813,audio_features,78ZqE2tjAxbqEGGlvGnQfT,spotify:track:78ZqE2tjAxbqEGGlvGnQfT,https://api.spotify.com/v1/tracks/78ZqE2tjAxbqEGGlvGnQfT,https://api.spotify.com/v1/audio-analysis/78ZqE2tjAxbqEGGlvGnQfT,248947,4
132,0.196,0.751,9,-7.39,1,0.0405,0.00252,0.667,0.378,0.629,145.719,audio_features,2rtaHm5SkgFzVa5Gr8oTW6,spotify:track:2rtaHm5SkgFzVa5Gr8oTW6,https://api.spotify.com/v1/tracks/2rtaHm5SkgFzVa5Gr8oTW6,https://api.spotify.com/v1/audio-analysis/2rtaHm5SkgFzVa5Gr8oTW6,195093,4
133,0.587,0.968,11,-9.393,1,0.0527,0.000869,0.000606,0.329,0.845,99.231,audio_features,2Mik4RyMTMGXscX9QGiDoX,spotify:track:2Mik4RyMTMGXscX9QGiDoX,https://api.spotify.com/v1/tracks/2Mik4RyMTMGXscX9QGiDoX,https://api.spotify.com/v1/audio-analysis/2Mik4RyMTMGXscX9QGiDoX,143293,4
134,0.342,0.751,0,-8.71,0,0.0696,0.278,0.0,0.121,0.481,143.892,audio_features,1PmLQePsJbx0n4JjX9RFUj,spotify:track:1PmLQePsJbx0n4JjX9RFUj,https://api.spotify.com/v1/tracks/1PmLQePsJbx0n4JjX9RFUj,https://api.spotify.com/v1/audio-analysis/1PmLQePsJbx0n4JjX9RFUj,160613,4
135,0.516,0.513,2,-10.762,1,0.0288,0.159,0.00957,0.0612,0.694,99.735,audio_features,6MOEQCtAWNSCmvg3SFKF5y,spotify:track:6MOEQCtAWNSCmvg3SFKF5y,https://api.spotify.com/v1/tracks/6MOEQCtAWNSCmvg3SFKF5y,https://api.spotify.com/v1/audio-analysis/6MOEQCtAWNSCmvg3SFKF5y,293933,4
136,0.226,0.585,2,-9.965,1,0.0343,0.128,0.0233,0.112,0.655,180.495,audio_features,3jBCwLVmmfKUH8321N4bdd,spotify:track:3jBCwLVmmfKUH8321N4bdd,https://api.spotify.com/v1/tracks/3jBCwLVmmfKUH8321N4bdd,https://api.spotify.com/v1/audio-analysis/3jBCwLVmmfKUH8321N4bdd,234600,3
137,0.476,0.731,0,-7.658,1,0.148,0.484,0.000392,0.129,0.613,126.8,audio_features,4Sb3TdqgOi35RoL78Y1LtC,spotify:track:4Sb3TdqgOi35RoL78Y1LtC,https://api.spotify.com/v1/tracks/4Sb3TdqgOi35RoL78Y1LtC,https://api.spotify.com/v1/audio-analysis/4Sb3TdqgOi35RoL78Y1LtC,142613,4
138,0.491,0.696,9,-10.114,1,0.0301,0.707,0.0,0.211,0.893,144.765,audio_features,6ybSSVTO6vMVJUk2bM68Y7,spotify:track:6ybSSVTO6vMVJUk2bM68Y7,https://api.spotify.com/v1/tracks/6ybSSVTO6vMVJUk2bM68Y7,https://api.spotify.com/v1/audio-analysis/6ybSSVTO6vMVJUk2bM68Y7,165360,4
139,0.64,0.651,4,-14.981,0,0.0517,0.142,0.28,0.0341,0.801,111.676,audio_features,4c4jJJoaiY21t2TyRZgdWS,spotify:track:4c4jJJoaiY21t2TyRZgdWS,https://api.spotify.com/v1/tracks/4c4jJJoaiY21t2TyRZgdWS,https://api.spotify.com/v1/audio-analysis/4c4jJJoaiY21t2TyRZgdWS,271573,4
140,0.415,0.72,7,-11.177,1,0.0492,0.481,0.0,0.185,0.619,176.785,audio_features,5rGD8FFgHw74cp3RPhucyg,spotify:track:5rGD8FFgHw74cp3RPhucyg,https://api.spotify.com/v1/tracks/5rGD8FFgHw74cp3RPhucyg,https://api.spotify.com/v1/audio-analysis/5rGD8FFgHw74cp3RPhucyg,234627,4
141,0.345,0.811,1,-11.948,0,0.0654,0.0606,0.0466,0.357,0.625,142.834,audio_features,5mSZLysuAtdNA21mbOm0sx,spotify:track:5mSZLysuAtdNA21mbOm0sx,https://api.spotify.com/v1/tracks/5mSZLysuAtdNA21mbOm0sx,https://api.spotify.com/v1/audio-analysis/5mSZLysuAtdNA21mbOm0sx,183824,4
142,0.338,0.794,0,-7.015,0,0.0432,0.0181,0.482,0.192,0.879,168.48,audio_features,3URfn21oTyGF6rIuhHsBJw,spotify:track:3URfn21oTyGF6rIuhHsBJw,https://api.spotify.com/v1/tracks/3URfn21oTyGF6rIuhHsBJw,https://api.spotify.com/v1/audio-analysis/3URfn21oTyGF6rIuhHsBJw,137145,4
143,0.518,0.493,7,-11.077,0,0.0311,0.402,0.0107,0.112,0.816,89.494,audio_features,7LIKiKUV9WifyLyLhO2XaY,spotify:track:7LIKiKUV9WifyLyLhO2XaY,https://api.spotify.com/v1/tracks/7LIKiKUV9WifyLyLhO2XaY,https://api.spotify.com/v1/audio-analysis/7LIKiKUV9WifyLyLhO2XaY,194333,3
