,Playlist,Followers,Songs,Genre 1,Genre 2,URI,Song URI,Popularity,Artist Name,Song Name
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:6f8nS2g21RNEL7gNG4WJVT,67,Gucci Mane,All Dz Chainz (feat. Lil Baby)
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:6wn8c6uZArkBAG4N8Tqf1x,59,Yo Gotti,"Buss Down (Yo Gotti, Big Boogie)"
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:5odEKBDCHBNrNm0skWsSUv,68,Megan Thee Stallion,Who Me (feat. Pooh Shiesty)
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:68ccsqXPhYGGTQ1RVDDtOh,66,Real Boston Richey,Keep Dissing 2 (with Lil Durk)
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:1oc92BMKYkNxK17C2GtyRM,79,Polo G,Distraction
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:0ehikRZdaCWkqg5gd8ilMJ,71,Young Dolph,Hall of Fame
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:4L1zI1GJxi0Qq38aSYmsS0,65,King Combs,Can't Stop Won't Stop (feat. Kodak Black)
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:6lhanwNaMxRtdLypNcXWDL,60,Wiz Khalifa,Bad Ass Bitches
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:27ZZdyTSQWI7Cug2d2PkqV,82,Armani White,BILLIE EILISH.
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:5tLdDm1cVYAH2kk7TyjmdW,67,42 Dugg,Thump Shit
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:0TaoUjbYZUEKK20zgy4bca,61,EST Gee,Love Is Blind
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:6OrTKLtcF7EBayOV2QqkSK,73,Southside,Hold That Heat (feat. Travis Scott)
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:3p4YmRsO7aOu8PUbwdN3OB,68,Key Glock,I Be
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:63udrqw7YGYVqTNdBqgyKy,60,NoCap,Very Special
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:5IVPl9SbDAe28LCRHBNpBa,60,Rae Sremmurd,Community D**k (feat. Flo Milli)
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:3LtpKP5abr2qqjunvjlX5i,92,Central Cee,Doja
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:52jBY28ULSi4ayJ57QFbLP,61,Blueface,Meat This
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:4Yzne4x3hUqWcT5m47gNU9,53,O.T. Genasis,Thang Thangin
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:5ZWNnO9MyPfGrUHiGWHESB,74,Megan Thee Stallion,Pressurelicious (feat. Future)
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:4i32zrLpygBg5Ruy1uqN78,63,Yo Gotti,"Big League (with Yo Gotti, Moneybagg Yo, CMG The Label feat. Mozzy & Lil Poppa)"
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:0b7UwotRCrS7qBoLDjfvSY,73,Lil Baby,U-Digg (feat. 42 Dugg & Veeze)
