,Playlist,Followers,Songs,Genre 1,Genre 2,URI,Song URI,Popularity,Artist Name,Song Name
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:3WpfdMUVeY7vyp8t60JtGo,43,Lauran Hibberd,Hot Boys
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:337hH1EiSJ7Sqqz6weaUmq,49,Hot Milk,I Fell in Love With Someone I Shouldn't Have
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:2SfMutDpjeHZgNXDmqObIF,40,408,Drama King
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:2EEBYFmjdsVLmDhXXGLfZi,49,Pinkshift,i'm not crying you're crying
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:34z2PBOPZUisHIdPYdlUzU,46,Aryia,A Session With My Therapist
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:2pkaP5gZboMEf5Jlrh8FXK,53,408,Backfired
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:4dM0WvMJS7tFcAWVkKgOsu,36,Fluorescents,Funeral
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:2ZcoqjUsyULHkmnHQV1AQ6,47,Chad Tepper,I Hate Everybody
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:2sPlAS5w8wpAfbxL3l2Ljr,51,GARZI,MESS (with Kellin Quinn of Sleeping With Sirens)
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:42LgfNNmYrzwjpgMb6uha5,30,Misplaced,theonlytimehefeelsfine
