Playlist,Followers,Songs,Genre 1,Genre 2,URI,Song URI,Popularity,Artist Name,Song Name
It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:0skYUMpS0AcbpjcGsAbRGj,88,BLACKPINK,Pink Venom
It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:7up4SX2l8FAnisrUXoGupd,70,Lukas Graham,Wish You Were Here (feat. Khalid)
It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:4C6Uex2ILwJi9sZXRdmqXp,89,Nicki Minaj,Super Freaky Girl
It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:0xzI1KAr0Yd9tv8jlIk3sn,90,benny blanco,Bad Decisions (with BTS & Snoop Dogg)
It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:5rbuv6zso7QSaKt265H3M3,76,NIKI,High School in Jakarta
It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:1elhmWW7Bv0MOQj2gAsyoV,72,Zedd,Make You Say
It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:6Iqz3QB6zSdn1N61acinau,70,Aitch,My G (feat. Ed Sheeran)
It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:1w3azB0VuRFp79AduIwrIy,75,Paul Partohap,P.S. I LOVE YOU
It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:7DByUXWmz1lQau0HLmdg1v,72,Anitta,Lobby
It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:3gXWe15nwrjfhjYQ5RqLx7,72,Demi Lovato,29
It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:1FfczxFNfvUSwEz5lHswm0,56,Maximillian,I'm Not Me
It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:2zz4plJxtgMIsQg5SMl2Bg,68,NIKI,Keeping Tabs
